system:index,date,hchovcd,lat,long,.geo
20210720T005212_20210721T173224,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T023342_20210721T191833,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T041511_20210721T212603,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T055641_20210721T230042,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T073811_20210722T005128,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T091940_20210722T025022,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T110110_20210722T043115,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T124240_20210722T061848,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T142409_20210722T071622,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T160539_20210722T092028,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T174709_20210722T110810,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T192838_20210722T123746,2021-07-20,1.2064616021238014E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T211008_20210722T144057,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720T225138_20210722T154959,2021-07-20,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T003307_20210722T171833,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T021437_20210722T185703,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T035607_20210722T205226,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T053736_20210722T223054,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T071906_20210723T002124,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T090036_20210723T022019,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T104205_20210723T040207,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T122335_20210723T060618,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T140505_20210723T065739,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T154634_20210723T090529,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T172804_20210723T104818,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T190933_20210723T122933,2021-07-21,4.21509117586959E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T205103_20210723T140548,2021-07-21,3.3162056184679703E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721T223233_20210723T153143,2021-07-21,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T001403_20210723T171740,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T015532_20210723T184747,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T033702_20210723T202719,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T051831_20210723T221849,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T070001_20210724T000743,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T084131_20210724T020741,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T102300_20210724T040518,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T120430_20210724T053430,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T134600_20210724T071741,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T152729_20210724T084655,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T170859_20210724T103122,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T185029_20210724T122245,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T203158_20210724T135225,2021-07-22,2.855588727205335E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T221328_20210724T152515,2021-07-22,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722T235458_20210724T163557,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T013627_20210724T181707,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T031757_20210724T195153,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T045926_20210724T215509,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T064056_20210724T235151,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T082226_20210725T014839,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T100355_20210725T035057,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723T114525_20210725T053722,2021-07-23,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
