system:index,covcd,date,lat,long,.geo
20221011T054922_20221012T193425,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T073051_20221012T211428,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T091221_20221012T225431,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T105350_20221013T004503,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T123520_20221013T022508,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T141649_20221013T040441,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T155818_20221013T054444,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T173947_20221013T072448,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T192117_20221013T090453,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T210246_20221013T104455,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T224416_20221013T123526,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T002545_20221013T141503,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T020714_20221013T155507,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T034844_20221013T173510,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T053013_20221013T191512,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T071142_20221013T205516,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T085312_20221013T223519,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T103441_20221014T002523,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T121610_20221014T020558,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T135740_20221014T034554,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T153909_20221014T052533,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T172038_20221014T070536,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T190208_20221014T084539,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T204337_20221014T102542,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221012T222507_20221014T121546,,2022-10-12,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T000636_20221014T135622,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T014805_20221014T153553,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T032934_20221014T171556,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T051104_20221014T185600,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T065233_20221014T203603,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T083403_20221014T221607,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T101532_20221015T000611,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T115701_20221015T014644,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T133831_20221015T032618,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T152000_20221015T050646,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T170129_20221015T064624,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T184259_20221015T082628,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T202428_20221015T100630,0.03566415980456751,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T220557_20221015T115633,,2022-10-13,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221013T234727_20221015T133713,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T012856_20221015T151641,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T031025_20221015T165644,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T045155_20221015T183647,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T063324_20221015T201650,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T081453_20221015T215654,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T095623_20221015T234656,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T113752_20221016T012731,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T131921_20221016T030705,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T150051_20221016T044708,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T164220_20221016T062740,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T182349_20221016T080714,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T200519_20221016T094719,0.030275627970682693,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T214648_20221016T113722,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221014T232818_20221016T131753,,2022-10-14,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T010947_20221016T145730,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T025116_20221016T163733,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T043245_20221016T181736,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T061415_20221016T195739,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T075544_20221016T213742,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T093714_20221016T232746,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T111843_20221017T010819,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T130012_20221017T024754,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T144142_20221017T042759,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T162311_20221017T060800,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T180440_20221017T074827,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T194610_20221017T092806,0.028140684026559726,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T212739_20221017T111810,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221015T230908_20221017T125841,,2022-10-15,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T005038_20221017T143818,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T023207_20221017T161821,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T041336_20221017T175826,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T055506_20221017T193829,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T073635_20221017T211831,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T091805_20221017T230835,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T105934_20221018T004910,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T124103_20221018T022841,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T142233_20221018T040844,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T160402_20221018T054848,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T174531_20221018T072851,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T192700_20221018T090912,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T210830_20221018T105857,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221016T224959_20221018T123927,,2022-10-16,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T003129_20221018T141905,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T021258_20221018T155908,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T035427_20221018T173912,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T053557_20221018T191916,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T071726_20221018T205919,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T085855_20221018T224923,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T104025_20221019T002952,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T122154_20221019T020930,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T140323_20221019T034933,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T154453_20221019T052937,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T172622_20221019T070940,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T190751_20221019T084943,0.031960591673837496,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T204921_20221019T104016,0.03471006796050632,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221017T223050_20221019T121950,,2022-10-17,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T001220_20221019T140026,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T015349_20221019T153957,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T033518_20221019T172000,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T051647_20221019T190004,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T065817_20221019T204006,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T083946_20221019T223010,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T102116_20221020T001014,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T120245_20221020T015047,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T134414_20221020T033021,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221018T152544_20221020T051024,,2022-10-18,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
