system:index,date,lat,long,vcd,.geo
20210107T094537_20210109T033019,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T112707_20210109T052029,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T130837_20210109T065355,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T145007_20210109T075727,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T163137_20210109T100321,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T181307_20210109T113828,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T195437_20210109T133017,2021-01-07,34.1326,-118.1272,0.12440530484143739,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T213607_20210109T152523,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T231737_20210109T170648,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T005907_20210109T180642,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T024037_20210109T195027,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T042207_20210109T214900,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T060337_20210109T232630,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T074507_20210110T004916,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T092637_20210110T030739,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T110807_20210110T044453,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T124937_20210110T064132,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T143107_20210110T075331,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T161237_20210110T092302,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T175407_20210110T114157,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T193537_20210110T125218,2021-01-08,34.1326,-118.1272,0.12658969448500082,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T211707_20210110T144807,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108T225838_20210110T155235,2021-01-08,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T004008_20210110T183216,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T022138_20210110T193710,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T040308_20210110T214144,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T054438_20210110T231452,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T072608_20210111T005752,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T090738_20210111T023205,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T104908_20210111T043001,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T123038_20210111T063706,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T141208_20210111T072153,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T155338_20210111T092133,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T173508_20210111T112953,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T191638_20210111T124918,2021-01-09,34.1326,-118.1272,0.12453534454092065,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T205808_20210111T141112,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109T223938_20210111T154202,2021-01-09,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T002108_20210111T171323,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T020238_20210111T191133,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T034408_20210111T211515,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T052538_20210111T225338,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T070709_20210112T004655,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T084839_20210112T021226,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T103009_20210112T040857,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T121139_20210112T061307,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T135309_20210112T070704,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T153439_20210112T084457,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T171609_20210112T110402,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T185739_20210112T122505,2021-01-10,34.1326,-118.1272,0.1288792898243781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T203909_20210112T140617,2021-01-10,34.1326,-118.1272,0.13129444420321632,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110T222039_20210112T152822,2021-01-10,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T000209_20210112T170309,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T014339_20210112T184415,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T032509_20210112T204521,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T050639_20210112T223215,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T064809_20210113T002543,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T082940_20210113T020335,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T101110_20210113T034853,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T115240_20210113T053732,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T133410_20210113T065347,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T151540_20210113T083317,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T165710_20210113T103129,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T183840_20210113T122421,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T202010_20210113T133115,2021-01-11,34.1326,-118.1272,0.13698525726778454,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T220140_20210113T151711,2021-01-11,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111T234310_20210113T163630,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T012440_20210113T183553,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T030610_20210113T200835,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T044740_20210113T223305,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T062910_20210113T234151,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T081041_20210114T013701,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T095211_20210114T030746,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T113341_20210114T051738,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T131511_20210114T063422,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T145641_20210114T081951,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T163811_20210114T095046,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T181941_20210114T121205,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T200111_20210114T132704,2021-01-12,34.1326,-118.1272,0.13202066485837682,"{""type"":""MultiPoint"",""coordinates"":[]}"
