system:index,date,lat,long,no2vcd,.geo
20210704T110145_20210708T214026,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T124315_20210708T113735,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T142445_20210708T192519,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T160614_20210708T155030,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T174744_20210708T155131,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T192914_20210708T155931,2021-07-04,34.181977,-118.363036,5.487684043703966E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T211044_20210708T160306,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T225214_20210709T062523,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T003343_20210709T124627,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T021513_20210709T145129,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T035643_20210709T155908,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T053812_20210709T160310,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T071942_20210709T184242,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T090112_20210709T190008,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T104242_20210710T040922,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T122412_20210710T114610,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T140541_20210710T171753,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T154711_20210710T193636,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T172841_20210710T222238,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T191011_20210711T004501,2021-07-05,34.181977,-118.363036,7.242541323645703E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T205140_20210711T035555,2021-07-05,34.181977,-118.363036,4.6994908188915494E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T223310_20210711T065611,2021-07-05,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T001440_20210711T092211,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T015610_20210711T094351,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T033739_20210711T124844,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T051909_20210711T155938,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T070039_20210708T120357,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T084209_20210708T121754,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T102339_20210712T000811,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T120508_20210712T013057,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T134638_20210712T014921,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T152808_20210708T185406,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T170937_20210708T191630,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T185107_20210708T210922,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T203237_20210708T232204,2021-07-06,34.181977,-118.363036,6.243051029739124E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T221407_20210708T232322,2021-07-06,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T235537_20210709T015811,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T013706_20210709T041500,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T031836_20210709T070139,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T050006_20210709T075632,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T064135_20210709T080250,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T082305_20210709T091848,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T100435_20210709T094932,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T114605_20210712T215748,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T132735_20210713T051419,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T150904_20210713T052055,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T165034_20210712T050818,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T183204_20210712T065028,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T201333_20210709T163611,2021-07-07,34.181977,-118.363036,9.928453800962765E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T215503_20210713T163607,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T233633_20210709T185208,2021-07-07,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T011803_20210709T190655,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T025932_20210709T205752,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T044102_20210709T220929,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T062232_20210710T000057,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T080402_20210710T013835,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T094532_20210710T033944,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T112701_20210710T050322,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T130831_20210710T065704,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T145001_20210710T080926,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T163130_20210710T102552,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
